page,query,clicks,impressions,ctr,position
https://www.williamsburgmedspa.com/,williamsburg med spa,6,42,0.14285714285714285,2.119047619047619
https://williamsburgmedspa.com/,williamsburg med spa,2,17,0.11764705882352941,1.3529411764705883
https://www.williamsburgmedspa.com/,med spa williamsburg va,2,128,0.015625,4.046875
https://williamsburgmedspa.com/,botox near me,1,2,0.5,18
https://williamsburgmedspa.com/,med spa williamsburg va,1,12,0.08333333333333333,1.6666666666666665
https://www.williamsburgmedspa.com/,botox williamsburg,1,114,0.008771929824561403,20.333333333333332
https://www.williamsburgmedspa.com/,med spa,1,2,0.5,4
https://www.williamsburgmedspa.com/,med spa williamsburg,1,46,0.021739130434782608,12.804347826086957
https://www.williamsburgmedspa.com/,williamsburg botox,1,7,0.14285714285714285,14.714285714285714
https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing,ear piercing for babies near me,1,1,1,5
https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing,ear piercing near me,1,5,0.2,5.6
https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing,ear piercing williamsburg va,1,29,0.034482758620689655,6.413793103448276
https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing,is it included in the price,1,1,1,1
https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing,needle ear piercing near me,1,2,0.5,6
https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing/near/james-city-county-va,where to get your ears pierced near me,1,1,1,1
https://williamsburgmedspa.com/,are they reputable,0,1,0,2
https://williamsburgmedspa.com/,botox membership near me,0,2,0,13
https://williamsburgmedspa.com/,botox williamsburg va,0,4,0,11.25
https://williamsburgmedspa.com/,coolsculpting near me,0,3,0,15
https://williamsburgmedspa.com/,dysport near me,0,1,0,10
https://williamsburgmedspa.com/,facial balancing near me,0,1,0,14
https://williamsburgmedspa.com/,facial williamsburg va,0,2,0,43.5
https://williamsburgmedspa.com/,facials near me,0,2,0,8.5
https://williamsburgmedspa.com/,kybella near me,0,1,0,6
https://williamsburgmedspa.com/,med spa,0,2,0,1
https://williamsburgmedspa.com/,med spa near me,0,4,0,6
https://williamsburgmedspa.com/,med spa williamsburg,0,2,0,3.5
https://williamsburgmedspa.com/,med spas near me,0,1,0,15
https://williamsburgmedspa.com/,medi spa near me,0,1,0,7
https://williamsburgmedspa.com/,medical sp,0,1,0,1
https://williamsburgmedspa.com/,medical spa,0,26,0,84.07692307692308
https://williamsburgmedspa.com/,medspa,0,1,0,10
https://williamsburgmedspa.com/,medspa events,0,6,0,1
https://williamsburgmedspa.com/,medspa williamsburg va,0,6,0,3.1666666666666665
https://williamsburgmedspa.com/,microneedling near me,0,1,0,13
https://williamsburgmedspa.com/,microneedling williamsburg va,0,2,0,8
https://williamsburgmedspa.com/,nail med spa,0,1,0,4
https://williamsburgmedspa.com/,obagi sale,0,1,0,9
https://williamsburgmedspa.com/,piercing williamsburg va,0,1,0,16
https://williamsburgmedspa.com/,sculptra near me,0,1,0,17
https://williamsburgmedspa.com/,sculptra williamsburg va,0,1,0,1
https://williamsburgmedspa.com/,spa near me,0,3,0,26.333333333333332
https://www.williamsburgmedspa.com/,advanced med spa care in virginia,0,3,0,62.333333333333336
https://www.williamsburgmedspa.com/,aesthetic services williamsburg va,0,2,0,14.5
https://www.williamsburgmedspa.com/,alternative medi spa,0,15,0,6.133333333333334
https://www.williamsburgmedspa.com/,anti-aging procedure williamsburg va,0,1,0,37
https://www.williamsburgmedspa.com/,anti-aging treatment williamsburg va,0,1,0,33
https://www.williamsburgmedspa.com/,best med spa ashburn va,0,2,0,97
https://www.williamsburgmedspa.com/,best med spa leesburg va,0,1,0,99
https://www.williamsburgmedspa.com/,best medical spa near me,0,2,0,87
https://www.williamsburgmedspa.com/,best spa in williamsburg va,0,4,0,68.5
https://www.williamsburgmedspa.com/,best spas in williamsburg va,0,2,0,60.5
https://www.williamsburgmedspa.com/,body contouring williamsburg,0,20,0,55.4
https://www.williamsburgmedspa.com/,body contouring williamsburg va,0,24,0,63.583333333333336
https://www.williamsburgmedspa.com/,"botox blacksburg,virginia",0,1,0,74
https://www.williamsburgmedspa.com/,botox clinic williamsville,0,15,0,81.26666666666667
https://www.williamsburgmedspa.com/,botox middleburg,0,3,0,61.333333333333336
https://www.williamsburgmedspa.com/,botox middleburg va,0,8,0,78.625
https://www.williamsburgmedspa.com/,botox near me,0,3,0,12
https://www.williamsburgmedspa.com/,botox near ne,0,1,0,9
https://www.williamsburgmedspa.com/,botox sales near me,0,1,0,11
https://www.williamsburgmedspa.com/,botox williamsburg va,0,53,0,11.49056603773585
https://www.williamsburgmedspa.com/,botox® cosmetic williamsburg va,0,2,0,18
https://www.williamsburgmedspa.com/,botox® williamsburg va,0,1,0,12
https://www.williamsburgmedspa.com/,co aesthetic,0,1,0,1
https://www.williamsburgmedspa.com/,colonial aesthetics and wellness,0,1,0,62
https://www.williamsburgmedspa.com/,contour med spa,0,2,0,9.5
https://www.williamsburgmedspa.com/,cosmetic enhancements williamsburg va,0,1,0,42
https://www.williamsburgmedspa.com/,cosmetic surgery williamsburg va,0,6,0,74
https://www.williamsburgmedspa.com/,cosmetic treatments williamsburg va,0,2,0,21
https://www.williamsburgmedspa.com/,couture med spa williamsburg,0,1,0,41
https://www.williamsburgmedspa.com/,day spa in williamsburg va,0,4,0,65.5
https://www.williamsburgmedspa.com/,day spas in williamsburg va,0,4,0,63
https://www.williamsburgmedspa.com/,dermal fillers williamsburg,0,31,0,11.838709677419354
https://www.williamsburgmedspa.com/,dermal fillers williamsburg va,0,27,0,11.11111111111111
https://www.williamsburgmedspa.com/,ear candling near me,0,1,0,7
https://www.williamsburgmedspa.com/,emsculpt neo williamsburg,0,1,0,83
https://www.williamsburgmedspa.com/,epidural injections williamsburg,0,1,0,99
https://www.williamsburgmedspa.com/,ever body williamsburg,0,3,0,56
https://www.williamsburgmedspa.com/,ever/body williamsburg,0,1,0,57
https://www.williamsburgmedspa.com/,everesse near me,0,1,0,7
https://www.williamsburgmedspa.com/,everybody williamsburg,0,1,0,26
https://www.williamsburgmedspa.com/,facial dermal filler williamsburg va,0,2,0,15
https://www.williamsburgmedspa.com/,facial williamsburg va,0,17,0,43.705882352941174
https://www.williamsburgmedspa.com/,female hair transplant williamsburg,0,11,0,14.909090909090908
https://www.williamsburgmedspa.com/,for skin,0,1,0,4
https://www.williamsburgmedspa.com/,forehead rejuvenation williamsburg va,0,3,0,25
https://www.williamsburgmedspa.com/,frown lines reduction williamsburg va,0,3,0,23.666666666666668
https://www.williamsburgmedspa.com/,hydrafacial williamsburg va,0,32,0,38.09375
https://www.williamsburgmedspa.com/,iv therapy williamsburg va,0,1,0,60
https://www.williamsburgmedspa.com/,juvederm williamsburg va,0,1,0,29
https://www.williamsburgmedspa.com/,"keratoconus treatment near me williamsburg,va",0,3,0,52.666666666666664
https://www.williamsburgmedspa.com/,kybella williamsburg,0,2,0,65
https://www.williamsburgmedspa.com/,laser hair removal williamsburg va,0,36,0,38.52777777777778
https://www.williamsburgmedspa.com/,lip flip near me,0,2,0,9.5
https://www.williamsburgmedspa.com/,masseter botox williamsburg,0,2,0,40.5
https://www.williamsburgmedspa.com/,med spa in ballston,0,1,0,77
https://www.williamsburgmedspa.com/,med spa in brambleton,0,1,0,63
https://www.williamsburgmedspa.com/,med spa in burke,0,10,0,64.6
https://www.williamsburgmedspa.com/,med spa in chantilly,0,7,0,75.28571428571429
https://www.williamsburgmedspa.com/,med spa in clarendon,0,1,0,79
https://www.williamsburgmedspa.com/,med spa in northern virginia,0,6,0,88.83333333333333
https://www.williamsburgmedspa.com/,med spa in south riding,0,1,0,90
https://www.williamsburgmedspa.com/,med spa in willowsford,0,11,0,42
https://www.williamsburgmedspa.com/,med spa near me,0,4,0,7.75
https://www.williamsburgmedspa.com/,med spa northern va,0,2,0,71
https://www.williamsburgmedspa.com/,med spa northern virginia,0,6,0,70.83333333333333
https://www.williamsburgmedspa.com/,med spa stafford va,0,1,0,57
https://www.williamsburgmedspa.com/,med spa virginia,0,2,0,68
https://www.williamsburgmedspa.com/,med spa williamsburg brooklyn,0,2,0,19.5
https://www.williamsburgmedspa.com/,med spa williamsville,0,8,0,80.375
https://www.williamsburgmedspa.com/,med spas in northern virginia,0,1,0,93
https://www.williamsburgmedspa.com/,med spas near me,0,2,0,7
https://www.williamsburgmedspa.com/,medical aesthetics of virginia,0,1,0,64
https://www.williamsburgmedspa.com/,medical office cleaning company williamsburg va,0,3,0,69
https://www.williamsburgmedspa.com/,medical sp,0,1,0,1
https://www.williamsburgmedspa.com/,medical spa burke va,0,7,0,54.57142857142857
https://www.williamsburgmedspa.com/,medical spa louisburg,0,1,0,99
https://www.williamsburgmedspa.com/,medical spa northern virginia,0,6,0,69.66666666666667
https://www.williamsburgmedspa.com/,medical spa purcellville va,0,2,0,70.5
https://www.williamsburgmedspa.com/,medical spa springfield va,0,3,0,74.33333333333333
https://www.williamsburgmedspa.com/,medical spa williamsburg,0,2807,0,2.7581047381546133
https://www.williamsburgmedspa.com/,medical spa williamsville,0,16,0,81.9375
https://www.williamsburgmedspa.com/,medspa,0,2,0,7.5
https://www.williamsburgmedspa.com/,medspa medics,0,1,0,31
https://www.williamsburgmedspa.com/,medspa near me,0,1,0,7
https://www.williamsburgmedspa.com/,medspa nokesville,0,4,0,69.25
https://www.williamsburgmedspa.com/,medspa virginia,0,2,0,69.5
https://www.williamsburgmedspa.com/,medspa williamsburg,0,48,0,3.4375
https://www.williamsburgmedspa.com/,medspa williamsburg va,0,25,0,2.6399999999999997
https://www.williamsburgmedspa.com/,medspa williamsville,0,21,0,74.28571428571429
https://www.williamsburgmedspa.com/,micro pigmentation of the scalp williamsburg va,0,1,0,79
https://www.williamsburgmedspa.com/,microneedling williamsburg,0,5,0,75.2
https://www.williamsburgmedspa.com/,mommy makeover williamsburg,0,2,0,76.5
https://www.williamsburgmedspa.com/,n4 med spa williamsburg,0,4,0,27.75
https://www.williamsburgmedspa.com/,n4 williamsburg,0,11,0,28.09090909090909
https://www.williamsburgmedspa.com/,neuromodulators williamsburg va,0,1,0,83
https://www.williamsburgmedspa.com/,non-surgical services williamsburg va,0,1,0,4
https://www.williamsburgmedspa.com/,np med spa,0,1,0,8
https://www.williamsburgmedspa.com/,piercing williamsburg va,0,1,0,9
https://www.williamsburgmedspa.com/,plastic surgery in williamsburg va,0,2,0,95.5
https://www.williamsburgmedspa.com/,plastic surgery williamsburg va,0,1,0,69
https://www.williamsburgmedspa.com/,plump williamsburg,0,2,0,14
https://www.williamsburgmedspa.com/,prx derm perfexion near me,0,2,0,7
https://www.williamsburgmedspa.com/,radiesse® williamsburg va,0,1,0,49
https://www.williamsburgmedspa.com/,restylane® injectable gel williamsburg va,0,2,0,15
https://www.williamsburgmedspa.com/,rhinoplasty williamsburg,0,24,0,57.125
https://www.williamsburgmedspa.com/,rhinoplasty williamsburg va,0,13,0,76.15384615384616
https://www.williamsburgmedspa.com/,rn medspa,0,1,0,12
https://www.williamsburgmedspa.com/,scar treatment williamsburg va,0,7,0,77.57142857142857
https://www.williamsburgmedspa.com/,sculptra williamsburg va,0,27,0,29.48148148148148
https://www.williamsburgmedspa.com/,sculptra® williamsburg va,0,1,0,22
https://www.williamsburgmedspa.com/,skin care williamsburg,0,2,0,56
https://www.williamsburgmedspa.com/,spa dermatology,0,1,0,10
https://www.williamsburgmedspa.com/,spa services williamsburg va,0,2,0,37.5
https://www.williamsburgmedspa.com/,tallman medical spa,0,2,0,68
https://www.williamsburgmedspa.com/,therapeutic skin treatments williamsburg va,0,1,0,28
https://www.williamsburgmedspa.com/,virginia med spa,0,3,0,65.66666666666667
https://www.williamsburgmedspa.com/,virginia medical spa,0,1,0,64
https://www.williamsburgmedspa.com/,virginia medspa,0,2,0,67.5
https://www.williamsburgmedspa.com/,williamsburg aesthetics,0,1,0,8
https://www.williamsburgmedspa.com/,williamsburg beauty spa,0,1,0,41
https://www.williamsburgmedspa.com/,williamsburg tmj,0,6,0,41.333333333333336
https://www.williamsburgmedspa.com/,williamson county botox procedure,0,1,0,13
https://www.williamsburgmedspa.com/affiliates,med spa williamsburg,0,4,0,7.75
https://www.williamsburgmedspa.com/affiliates,med spa williamsburg va,0,14,0,3.7857142857142856
https://www.williamsburgmedspa.com/affiliates,medical spa williamsburg,0,4,0,6.25
https://www.williamsburgmedspa.com/affiliates,medspa williamsburg va,0,1,0,4
https://www.williamsburgmedspa.com/blog,med spa williamsburg,0,4,0,7.75
https://www.williamsburgmedspa.com/blog,med spa williamsburg va,0,14,0,3.7857142857142856
https://www.williamsburgmedspa.com/blog,medical spa williamsburg,0,4,0,6.25
https://www.williamsburgmedspa.com/blog,medspa williamsburg va,0,1,0,4
https://www.williamsburgmedspa.com/blog/sculptra-alternatives-in-williamsburg-va,alternative medi spa,0,3,0,12.333333333333334
https://www.williamsburgmedspa.com/blog/sculptra-alternatives-in-williamsburg-va,body contouring williamsburg va,0,3,0,81.33333333333333
https://www.williamsburgmedspa.com/blog/sculptra-alternatives-in-williamsburg-va,botox williamsburg va,0,1,0,75
https://www.williamsburgmedspa.com/blog/sculptra-alternatives-in-williamsburg-va,dermal fillers williamsburg,0,10,0,45.2
https://www.williamsburgmedspa.com/blog/sculptra-alternatives-in-williamsburg-va,dermal fillers williamsburg va,0,20,0,50.7
https://www.williamsburgmedspa.com/blog/sculptra-alternatives-in-williamsburg-va,facial dermal filler williamsburg va,0,1,0,40
https://www.williamsburgmedspa.com/blog/sculptra-alternatives-in-williamsburg-va,forehead rejuvenation williamsburg va,0,1,0,50
https://www.williamsburgmedspa.com/blog/sculptra-alternatives-in-williamsburg-va,non-surgical services williamsburg va,0,1,0,34
https://www.williamsburgmedspa.com/blog/sculptra-alternatives-in-williamsburg-va,sculptra alternatives,0,1,0,81
https://www.williamsburgmedspa.com/blog/sculptra-alternatives-in-williamsburg-va,sculptra williamsburg va,0,14,0,9.5
https://www.williamsburgmedspa.com/blog/sculptra-alternatives-in-williamsburg-va,sculptra® williamsburg va,0,1,0,11
https://www.williamsburgmedspa.com/consult,body contouring williamsburg va,0,4,0,67.5
https://www.williamsburgmedspa.com/consult,botox williamsburg va,0,2,0,81
https://www.williamsburgmedspa.com/consult,hydrafacial williamsburg va,0,5,0,79.6
https://www.williamsburgmedspa.com/consult,med spa williamsburg va,0,6,0,72.16666666666667
https://www.williamsburgmedspa.com/consult,medical spa williamsburg,0,2,0,99.5
https://www.williamsburgmedspa.com/consult,medspa williamsburg,0,3,0,52.666666666666664
https://www.williamsburgmedspa.com/consult,medspa williamsburg va,0,1,0,99
https://www.williamsburgmedspa.com/events,botox parties near me,0,3,0,94.66666666666667
https://www.williamsburgmedspa.com/events,botox party washington dc,0,1,0,51
https://www.williamsburgmedspa.com/events,botox williamsburg va,0,7,0,50
https://www.williamsburgmedspa.com/events,botox® williamsburg va,0,1,0,49
https://www.williamsburgmedspa.com/events,med spa events,0,3,0,48
https://www.williamsburgmedspa.com/events,med spa party washington dc,0,1,0,67
https://www.williamsburgmedspa.com/events,med spa williamsburg,0,10,0,20.1
https://www.williamsburgmedspa.com/events,med spa williamsburg va,0,39,0,34.15384615384615
https://www.williamsburgmedspa.com/events,medical spa events,0,2,0,54
https://www.williamsburgmedspa.com/events,medical spa williamsburg,0,22,0,8.954545454545453
https://www.williamsburgmedspa.com/events,medspa events,0,28,0,71.64285714285714
https://www.williamsburgmedspa.com/events,medspa williamsburg,0,5,0,82.4
https://www.williamsburgmedspa.com/events,medspa williamsburg va,0,2,0,30
https://www.williamsburgmedspa.com/locations,med spa williamsburg,0,8,0,7.125
https://www.williamsburgmedspa.com/locations,med spa williamsburg va,0,17,0,3.823529411764706
https://www.williamsburgmedspa.com/locations,medical spa williamsburg,0,22,0,8.954545454545453
https://www.williamsburgmedspa.com/locations,medspa williamsburg va,0,1,0,4
https://www.williamsburgmedspa.com/locations/james-city-county-va,dermal fillers williamsburg va,0,1,0,35
https://www.williamsburgmedspa.com/locations/james-city-county-va,dermal near me,0,1,0,11
https://www.williamsburgmedspa.com/locations/james-city-county-va,med spa williamsburg,0,2,0,91.5
https://www.williamsburgmedspa.com/locations/james-city-county-va,med spa williamsburg va,0,19,0,68.78947368421052
https://www.williamsburgmedspa.com/locations/james-city-county-va,med spas near me,0,1,0,5
https://www.williamsburgmedspa.com/locations/james-city-county-va,medial spa,0,1,0,4
https://www.williamsburgmedspa.com/locations/james-city-county-va,medspa williamsburg va,0,1,0,87
https://www.williamsburgmedspa.com/locations/james-city-county-va,"pain therapist in james city county, va",0,4,0,69.25
https://www.williamsburgmedspa.com/locations/james-city-county-va,"pain therapy in james city county, va",0,1,0,45
https://www.williamsburgmedspa.com/locations/james-city-county-va,williamsburg med spa,0,2,0,26
https://www.williamsburgmedspa.com/locations/kingsmill-va,dermal fillers williamsburg va,0,5,0,46
https://www.williamsburgmedspa.com/locations/kingsmill-va,med spa williamsburg va,0,6,0,48
https://www.williamsburgmedspa.com/locations/kingsmill-va,medical spa williamsburg,0,1,0,94
https://www.williamsburgmedspa.com/locations/kingsmill-va,medspa williamsburg,0,1,0,57
https://www.williamsburgmedspa.com/locations/kingsmill-va,regenerative clinic williamsburg va,0,1,0,15
https://www.williamsburgmedspa.com/locations/newport-news-va,aesthetics near me,0,1,0,12
https://www.williamsburgmedspa.com/locations/newport-news-va,alternative medi spa,0,1,0,72
https://www.williamsburgmedspa.com/locations/newport-news-va,best spas in williamsburg va,0,1,0,38
https://www.williamsburgmedspa.com/locations/newport-news-va,botox in newport news va,0,2,0,47
https://www.williamsburgmedspa.com/locations/newport-news-va,botox near me,0,3,0,30
https://www.williamsburgmedspa.com/locations/newport-news-va,botox newport news,0,5,0,41.6
https://www.williamsburgmedspa.com/locations/newport-news-va,cosmetic surgery newport news,0,4,0,49
https://www.williamsburgmedspa.com/locations/newport-news-va,cryotherapy clinic near me,0,5,0,16.8
https://www.williamsburgmedspa.com/locations/newport-news-va,dermal fillers near me,0,3,0,24.666666666666668
https://www.williamsburgmedspa.com/locations/newport-news-va,dermal fillers newport news,0,11,0,36.45454545454545
https://www.williamsburgmedspa.com/locations/newport-news-va,dermal fillers newport news va,0,2,0,31
https://www.williamsburgmedspa.com/locations/newport-news-va,hifu near me,0,1,0,7
https://www.williamsburgmedspa.com/locations/newport-news-va,med spa,0,1,0,12
https://www.williamsburgmedspa.com/locations/newport-news-va,med spa near me,0,4,0,11.75
https://www.williamsburgmedspa.com/locations/newport-news-va,med spa newport news,0,37,0,22.83783783783784
https://www.williamsburgmedspa.com/locations/newport-news-va,med spa williamsburg,0,3,0,66.33333333333333
https://www.williamsburgmedspa.com/locations/newport-news-va,med spa williamsburg va,0,30,0,50.3
https://www.williamsburgmedspa.com/locations/newport-news-va,medical spa,0,1,0,12
https://www.williamsburgmedspa.com/locations/newport-news-va,medical spa consultation,0,1,0,8
https://www.williamsburgmedspa.com/locations/newport-news-va,medical spa near me,0,1,0,12
https://www.williamsburgmedspa.com/locations/newport-news-va,medical spa williamsburg,0,2,0,89
https://www.williamsburgmedspa.com/locations/newport-news-va,medspa,0,1,0,12
https://www.williamsburgmedspa.com/locations/newport-news-va,medspa near me,0,4,0,12
https://www.williamsburgmedspa.com/locations/newport-news-va,medspa newport news,0,1,0,23
https://www.williamsburgmedspa.com/locations/newport-news-va,medspa williamsburg,0,5,0,41.8
https://www.williamsburgmedspa.com/locations/newport-news-va,medspa williamsburg va,0,1,0,82
