query,clicks,impressions,ctr,position
williamsburg med spa,5,28,0.17857142857142858,2.321428571428571
med spa williamsburg va,4,142,0.028169014084507043,5.943661971830986
medspa williamsburg,2,64,0.03125,6.515625
botox williamsburg va,1,39,0.02564102564102564,12.333333333333334
ear piercing for baby near me,1,1,1,5
ear piercing williamsburg va,1,26,0.038461538461538464,9.26923076923077
med spa williamsburg,1,51,0.0196078431372549,33.90196078431372
medspa williamsburg va,1,36,0.027777777777777776,5.416666666666667
prp breast lift near me,1,2,0.5,12.5
where can i get my ears pierced,1,3,0.3333333333333333,3.6666666666666665
aesthetic services williamsburg va,0,2,0,18
alternative medi spa,0,14,0,11.142857142857142
anti-aging procedure williamsburg va,0,1,0,16
areola blush treatment williamsburg va,0,2,0,13
areola nipple and pigmentation williamsburg va,0,3,0,18.666666666666668
areola treatment williamsburg va,0,10,0,11.8
baby piercing near me,0,1,0,9
best botox near me,0,1,0,10
best ear piercing for baby near me,0,1,0,6
best spa in williamsburg va,0,3,0,70
best spas in williamsburg va,0,2,0,50.5
body contouring williamsburg,0,20,0,67.05
body contouring williamsburg va,0,25,0,54.4
botox clinic williamsville,0,14,0,82.78571428571429
botox middleburg,0,1,0,65
botox middleburg va,0,7,0,78.28571428571429
botox near me,0,2,0,11
botox parties near me,0,1,0,99
botox williamsburg,0,112,0,28.375
botox williamsburg brooklyn,0,1,0,91
botox® cosmetic williamsburg va,0,2,0,27
botox® williamsburg va,0,1,0,13
breast augmentation williamsburg,0,2,0,34.5
breast augmentation williamsburg va,0,15,0,51.13333333333333
breast lift williamsburg,0,40,0,13.05
breast lift williamsburg va,0,44,0,14.318181818181818
breast reduction williamsburg va,0,24,0,52
c02liftv otsego,0,2,0,16.5
chemical peel near me,0,1,0,1
chemical peels near me,0,1,0,1
children's ear piercing near me,0,1,0,2
co2 v lift,0,1,0,50
contour restore williamsburg,0,7,0,10.142857142857142
contour restore williamsburg va,0,1,0,38
cosmetic surgery williamsburg va,0,4,0,72.5
cost?,0,1,0,3
couture med spa williamsburg,0,3,0,41.333333333333336
couture med spa williamsburg va,0,3,0,53.333333333333336
day spas in williamsburg va,0,1,0,77
definage,0,1,0,7
dermal change near me,0,1,0,9
dermal fillers front royal,0,1,0,95
dermal fillers in virginia,0,1,0,99
dermal fillers tysons corner va,0,2,0,86
dermal fillers tysons va,0,8,0,94.5
dermal fillers virginia,0,1,0,96
dermal fillers williamsburg,0,33,0,8.606060606060606
dermal fillers williamsburg va,0,43,0,15.116279069767442
dermal fillers williamsville,0,1,0,84
dermaplaning near me,0,1,0,14
ear peircing,0,1,0,4
ear piecing,0,1,0,12
ear pierci,0,1,0,10
ear piercinfs,0,1,0,7
ear piercing,0,3,0,11
ear piercing design near me,0,1,0,5
ear piercing near me,0,5,0,4.8
ear piercing williamsburg,0,4,0,13.25
ear piercings,0,15,0,5.8
ear pircings,0,1,0,8
ear styling near me,0,1,0,12
ever/body williamsburg,0,1,0,56
facelift williamsburg,0,11,0,25.454545454545453
facelift williamsburg va,0,2,0,21
facial balancing botox near me,0,1,0,7
facial dermal filler williamsburg va,0,3,0,25
facial rejuvenation for men near me,0,2,0,12
facial williamsburg va,0,9,0,39.22222222222222
female hair transplant williamsburg,0,27,0,30.85185185185185
forehead rejuvenation williamsburg va,0,3,0,29.666666666666668
frown lines reduction williamsburg va,0,2,0,38
hairline transplant williamsburg,0,39,0,12.58974358974359
how much for ear piercing,0,1,0,14
hydra facial near me,0,1,0,11
hydrafacial near me,0,3,0,18.666666666666668
hydrafacial williamsburg va,0,38,0,18.05263157894737
hyperhidrosis near me ann arbor,0,2,0,64.5
hyperhidrosis salem,0,8,0,63.875
hyperhidrosis treatment arlington va,0,26,0,65.65384615384616
hyperhidrosis treatment ashburn,0,16,0,85.4375
hyperhidrosis treatment richmond va,0,1,0,37
inflammation therapy williamsburg va,0,8,0,49.875
"keratoconus treatment near me williamsburg,va",0,4,0,49.5
knee pain relief williamsburg,0,1,0,77
laser hair removal williamsburg va,0,22,0,63.45454545454545
lip filler near me,0,2,0,10.5
lip flip near me,0,1,0,6
lip flips near me,0,2,0,3
male hair transplant williamsburg,0,3,0,62
masseter botox williamsburg,0,3,0,52.333333333333336
mastopexy williamsburg va,0,1,0,17
mays spa williamsburg,0,1,0,100
med fillers,0,1,0,86
med spa,0,8,0,4.375
med spa event,0,1,0,69
med spa events,0,1,0,49
med spa in powhatan va,0,2,0,43
med spa in willowsford,0,3,0,87.33333333333333
med spa lynchburg va,0,1,0,69
med spa near me,0,4,0,7.75
med spa powhatan va,0,2,0,33.5
med spa williamson county,0,2,0,73.5
med spa williamsville,0,6,0,79.33333333333333
med spac,0,1,0,3
med spas,0,2,0,9
med\,0,1,0,9
medi pedi spa near me,0,1,0,8
medi spa,0,1,0,6
medical ear piercing near me,0,1,0,2
medical spa,0,30,0,112.33333333333333
medical spa burke va,0,8,0,75.5
medical spa membership near me,0,1,0,13
medical spa near me,0,4,0,25.75
medical spa westerleigh,0,2,0,81
medical spa williamsburg,0,1933,0,4.321262286601138
medical spa williamsville,0,19,0,84.26315789473684
medspa,0,3,0,2.666666666666667
medspa events,0,30,0,74.73333333333333
medspa np,0,1,0,72
medspa williamsville,0,21,0,79.61904761904762
medspas near me,0,1,0,11
microneedling williamsburg,0,2,0,74
microneedling williamsburg va,0,1,0,19
morrilton med spa,0,1,0,56
n4 med spa williamsburg,0,3,0,30
n4 williamsburg,0,5,0,27.8
neuromodulators williamsburg va,0,1,0,85
new medi spa,0,1,0,13
non-surgical services williamsburg va,0,1,0,5
non-surgical treatment williamsburg va,0,1,0,5
o shot grand rapids mi,0,1,0,79
o-shot near me,0,1,0,23
oshot cape may court house,0,1,0,97
p shot near me,0,1,0,1
"patient lifts in williamsburg, va",0,1,0,38
pelvic pain williamsburg,0,4,0,59.25
piercing medical,0,2,0,5.5
piercing near me,0,2,0,11
piercing williamsburg,0,8,0,12
piercing williamsburg va,0,23,0,2.8260869565217392
piercings,0,1,0,11
piercings williamsburg,0,4,0,21.25
plasma therapy faq,0,1,0,74
platelet rich plasma,0,1,0,6
plump williamsburg,0,9,0,26.555555555555557
"prp breast lift harrisonburg,va",0,2,0,33.5
prp facial in ashbrook commons,0,6,0,64
prp facial in ballston,0,11,0,65.36363636363636
prp facial in brambleton,0,14,0,57.714285714285715
prp facial in broadlands,0,12,0,68.83333333333333
prp facial in chantilly,0,10,0,71.4
prp facial in loudoun county,0,5,0,80
prp facial in one loudoun,0,12,0,67.91666666666667
prp facial in virginia,0,17,0,66.76470588235294
prp facial in willowsford,0,1,0,43
prp for skin rejuvenation,0,1,0,100
prp hair restoration fredericksburg,0,16,0,91.25
prp hair restoration virginia beach,0,2,0,98
prp hair treatments in aldie,0,10,0,85.5
prp hair treatments in ashbrook commons,0,2,0,90.5
prp hair treatments in dunn loring,0,8,0,81.25
prp hair treatments in virginia,0,2,0,87.5
prp hair treatments in willowsford,0,23,0,71.82608695652173
prp nesr me,0,1,0,6
prp technique,0,1,0,52
prp under eyes near me,0,4,0,9.25
prx derm perfexion near me,0,1,0,9
reduction mammaplasty williamsburg va,0,1,0,43
regenerative clinic williamsburg va,0,4,0,16.75
restylane® injectable gel williamsburg va,0,2,0,27.5
restylane® treatment williamsburg va,0,1,0,37
rhinoplasty williamsburg,0,15,0,69.93333333333334
rhinoplasty williamsburg va,0,24,0,59.166666666666664
rhytidectomy williamsburg va,0,1,0,30
rpr facial treatment,0,1,0,100
russian lips near me,0,1,0,12
scalp pigmentation williamsburg va,0,1,0,36
scar treatment williamsburg va,0,1,0,76
sculptra alternatives,0,2,0,47
sculptra williamsburg va,0,39,0,10.333333333333334
sculptra® williamsburg va,0,1,0,15
skin care williamsburg,0,1,0,54
spa in williamsburg va,0,2,0,43.5
spa near me,0,4,0,37
spa packages in williamsburg va,0,1,0,96
sweat reduction treatment washington dc,0,3,0,88.33333333333333
tallman medical spa,0,1,0,72
the med,0,1,0,4
top rated med spa near me,0,1,0,8
virginia med spa,0,1,0,69
virginia medspa,0,1,0,66
where can i get a piercing near me,0,1,0,11
where can i get it,0,1,0,4
where to get ear piercing,0,1,0,6
where to get ears pierced,0,1,0,7
williamsburg beauty spa,0,1,0,55
williamsburg botox,0,8,0,15.375
williamsburg piercing,0,6,0,19.333333333333332
williamsburg tmj,0,4,0,35.5
williamsburg va,0,1,0,4
xeomin charlottesville,0,4,0,69.25
xeomin near fairfax va,0,2,0,86
xeomin near me,0,1,0,6
xeomin northern virginia,0,22,0,81.77272727272727
xeomin treatment in aldie va,0,7,0,64.42857142857143
xeomin tysons corner,0,10,0,69.8
