Country,Clicks,Impressions,CTR,Position
United States,79,5193,1.52%,33.49
Philippines,2,20,10%,47
Italy,1,7,14.29%,33.57
Japan,1,4,25%,27.5
Finland,1,1,100%,6
Canada,0,22,0%,10.05
United Kingdom,0,21,0%,37.33
India,0,14,0%,20.57
Brazil,0,10,0%,33
Germany,0,5,0%,48.4
South Korea,0,4,0%,10.5
Indonesia,0,4,0%,20.5
France,0,4,0%,21.5
Turkey,0,4,0%,29.5
Vietnam,0,4,0%,33
Bangladesh,0,4,0%,34.75
Egypt,0,3,0%,6.67
Netherlands,0,3,0%,37.33
United Arab Emirates,0,3,0%,38.67
Romania,0,3,0%,44.67
Mexico,0,3,0%,52
Serbia,0,2,0%,1
Thailand,0,2,0%,6
Australia,0,2,0%,7.5
South Africa,0,2,0%,11
Switzerland,0,2,0%,21
Russia,0,2,0%,32
Czechia,0,2,0%,59
Cyprus,0,1,0%,1
Argentina,0,1,0%,2
Dominican Republic,0,1,0%,2
Sri Lanka,0,1,0%,2
Malaysia,0,1,0%,4
Bahamas,0,1,0%,6
Dominica,0,1,0%,7
Iran,0,1,0%,7
Puerto Rico,0,1,0%,7
Colombia,0,1,0%,9
Estonia,0,1,0%,9
Nigeria,0,1,0%,10
New Zealand,0,1,0%,10
Azerbaijan,0,1,0%,11
Peru,0,1,0%,15
Morocco,0,1,0%,37
Singapore,0,1,0%,46
Greece,0,1,0%,47
Ukraine,0,1,0%,48
Trinidad & Tobago,0,1,0%,50
Hong Kong,0,1,0%,65
Guatemala,0,1,0%,77
Tunisia,0,1,0%,86
Laos,0,1,0%,90
Pakistan,0,1,0%,161